,Unnamed: 0,Player,Tm,season17_18
0,1,Stephen Curry,GSW,34682550.0
1,2,LeBron James,CLE,33285709.0
2,3,Paul Millsap,DEN,31269231.0
3,4,Gordon Hayward,BOS,29727900.0
4,5,Blake Griffin,DET,29512900.0
5,6,Kyle Lowry,TOR,28703704.0
6,7,Russell Westbrook,OKC,28530608.0
7,8,Mike Conley,MEM,28530608.0
8,9,James Harden,HOU,28299399.0
9,10,DeMar DeRozan,TOR,27739975.0
10,11,Al Horford,BOS,27734405.0
11,12,Carmelo Anthony,OKC,26243760.0
12,13,Damian Lillard,POR,26153057.0
13,14,Jrue Holiday,NOP,25686667.0
14,15,Chris Bosh,MIA,25289390.0
15,16,Kevin Durant,GSW,25000000.0
16,17,Otto Porter,WAS,24773250.0
17,18,Chris Paul,HOU,24599495.0
18,19,C.J. McCollum,POR,23962573.0
19,20,Bradley Beal,WAS,23775506.0
20,21,Anthony Davis,NOP,23775506.0
21,22,Andre Drummond,DET,23775506.0
22,23,Hassan Whiteside,MIA,23775506.0
23,24,Dwight Howard,CHO,23500000.0
24,25,Chandler Parsons,MEM,23112004.0
25,26,Harrison Barnes,DAL,23112004.0
26,27,J.J. Redick,PHI,23000000.0
27,28,Marc Gasol,MEM,22642350.0
28,29,Kevin Love,CLE,22642350.0
29,30,Brook Lopez,LAL,22642350.0
30,31,DeAndre Jordan,LAC,22642350.0
31,32,Steven Adams,OKC,22471910.0
32,33,Giannis Antetokounmpo,MIL,22471910.0
33,34,Nicolas Batum,CHO,22434783.0
34,35,Rudy Gobert,UTA,21974719.0
35,36,LaMarcus Aldridge,SAS,21461010.0
36,37,Victor Oladipo,IND,21000000.0
37,38,Enes Kanter,NYK,20566802.0
38,39,Danilo Gallinari,LAC,20559599.0
39,40,Serge Ibaka,TOR,20061729.0
40,41,George Hill,CLE,20000000.0
41,42,Ryan Anderson,HOU,19578455.0
42,43,Paul George,OKC,19508958.0
43,44,Allen Crabbe,BRK,19332500.0
44,45,Jimmy Butler,MIN,19301070.0
45,46,Jeff Teague,MIN,19000000.0
46,47,Kawhi Leonard,SAS,18868625.0
47,48,Kyrie Irving,BOS,18868625.0
48,49,John Wall,WAS,18063850.0
49,50,DeMarcus Cousins,NOP,18063850.0
50,51,Greg Monroe,PHO,17884176.0
51,52,Wesley Matthews,DAL,17884176.0
52,53,Klay Thompson,GSW,17826150.0
