,Year,Player,Pos,Age,G,PER,MPG,PPG,APG,RPG,TOPG,BPG,SPG,salary17_18
0,2017.0,Alex Abrines,SG,23.0,68.0,10.1,15.514705882352942,5.970588235294118,0.5882352941176471,1.2647058823529411,0.4852941176470588,0.11764705882352941,0.5441176470588235,5.725
1,2017.0,Quincy Acy,PF,26.0,38.0,11.8,14.68421052631579,5.842105263157895,0.47368421052631576,3.026315789473684,0.5526315789473685,0.39473684210526316,0.3684210526315789,1.709538
2,2017.0,Steven Adams,C,23.0,80.0,16.5,29.8625,11.3125,1.075,7.6875,1.825,0.975,1.1,22.47191
3,2017.0,Arron Afflalo,SG,31.0,61.0,9.0,25.901639344262296,8.442622950819672,1.278688524590164,2.0491803278688523,0.6885245901639344,0.11475409836065574,0.3442622950819672,2.328652
4,2017.0,Arron Afflalo,SG,31.0,61.0,9.0,25.901639344262296,8.442622950819672,1.278688524590164,2.0491803278688523,0.6885245901639344,0.11475409836065574,0.3442622950819672,1.5
5,2017.0,Alexis Ajinca,C,28.0,39.0,12.9,14.974358974358974,5.3076923076923075,0.3076923076923077,4.538461538461538,0.7948717948717948,0.5641025641025641,0.5128205128205128,4.961798
6,2017.0,Cole Aldrich,C,28.0,62.0,12.7,8.564516129032258,1.6935483870967742,0.4032258064516129,2.5483870967741935,0.27419354838709675,0.3709677419354839,0.4032258064516129,7.3
7,2017.0,LaMarcus Aldridge,PF,31.0,72.0,18.6,32.43055555555556,17.26388888888889,1.9305555555555556,7.277777777777778,1.3611111111111112,1.2361111111111112,0.6388888888888888,21.46101
8,2017.0,Tony Allen,SG,35.0,71.0,13.3,26.95774647887324,9.056338028169014,1.380281690140845,5.507042253521127,1.408450704225352,0.4084507042253521,1.619718309859155,2.116955
9,2017.0,Al-Farouq Aminu,SF,26.0,61.0,11.3,29.065573770491802,8.721311475409836,1.6229508196721312,7.39344262295082,1.540983606557377,0.7213114754098361,0.9836065573770492,7.319035
10,2017.0,Justin Anderson,SF,23.0,75.0,13.9,16.373333333333335,7.093333333333334,0.88,3.2666666666666666,0.88,0.30666666666666664,0.5466666666666666,1.57944
